,distance (m),,,
0.2933,0.27727,0.42673,0.44853,0.45427
0.29456,0.26793,0.43067,0.44629,0.44615
0.29583,0.2733,0.42708,0.44166,0.44589
0.29709,0.26289,0.42653,0.44737,0.44525
0.29836,0.26946,0.42824,0.442,0.44709
0.29962,0.27511,0.43132,0.44943,0.4488
0.30088,0.26868,0.42034,0.44372,0.44896
0.30215,0.27015,0.42178,0.43095,0.45033
0.30341,0.26968,0.43098,0.44463,0.44839
0.30468,0.26983,0.42973,0.44515,0.44571
0.30594,0.27195,0.42442,0.44623,0.44298
0.30721,0.2719,0.42583,0.43827,0.43895
0.30847,0.26352,0.43038,0.43786,0.43036
0.30973,0.26541,0.4229,0.43886,0.44093
0.311,0.26538,0.429,0.44166,0.44984
0.31226,0.26661,0.42326,0.4361,0.44425
0.31353,0.26617,0.41658,0.43442,0.43727
0.31479,0.26373,0.4296,0.43128,0.44363
0.31606,0.26989,0.42426,0.44396,0.43974
0.31732,0.271,0.42587,0.43832,0.44507
0.31858,0.26917,0.42209,0.43545,0.44143
0.31985,0.26699,0.42425,0.43399,0.44159
0.32111,0.25586,0.42407,0.4354,0.44466
0.32238,0.26719,0.41883,0.44032,0.44301
0.32364,0.26178,0.42661,0.43497,0.43726
0.32491,0.26763,0.42091,0.43592,0.43366
0.32617,0.26379,0.42062,0.42769,0.4379
0.32743,0.26652,0.41891,0.4426,0.44388
0.3287,0.26516,0.42345,0.43249,0.43723
0.32996,0.26453,0.41977,0.43245,0.43578
0.33123,0.26566,0.4127,0.42984,0.43439
0.33249,0.26533,0.41705,0.42992,0.4412
0.33375,0.26672,0.42306,0.437,0.43734
0.33502,0.26487,0.42399,0.43631,0.43015
0.33628,0.26984,0.41138,0.4373,0.43174
0.33755,0.2603,0.41223,0.42656,0.43165
0.33881,0.26937,0.4225,0.43601,0.43336
0.34008,0.26344,0.41631,0.43618,0.43492
0.34134,0.27111,0.41472,0.43659,0.44123
0.3426,0.2654,0.41607,0.43093,0.43163
0.34387,0.2651,0.41334,0.4332,0.44011
0.34513,0.26055,0.41046,0.43358,0.43778
0.3464,0.26922,0.41526,0.43383,0.43789
0.34766,0.26648,0.41202,0.42869,0.42821
0.34893,0.27226,0.41373,0.42934,0.42946
0.35019,0.25844,0.41051,0.4266,0.43603
0.35145,0.26411,0.41353,0.43229,0.43471
0.35272,0.26295,0.41569,0.42945,0.432
0.35398,0.26777,0.41208,0.42743,0.42999
0.35525,0.25806,0.41045,0.42023,0.43288
0.35651,0.25958,0.40969,0.43466,0.43063
0.35777,0.26952,0.41652,0.42852,0.43597
0.35904,0.26481,0.41117,0.42728,0.43218
0.3603,0.26365,0.40784,0.42598,0.42288
0.36157,0.2589,0.40677,0.425,0.43192
0.36283,0.25805,0.40686,0.42597,0.42732
0.3641,0.26385,0.414,0.43003,0.42609
0.36536,0.26077,0.40558,0.42613,0.43422
0.36662,0.2626,0.40827,0.42207,0.42951
0.36789,0.25448,0.40166,0.42315,0.43002
0.36915,0.25992,0.40782,0.43061,0.42979
0.37042,0.257,0.40301,0.42377,0.43302
0.37168,0.26027,0.40281,0.42604,0.42335
0.37295,0.25711,0.4026,0.42227,0.4255
0.37421,0.25532,0.40637,0.42581,0.42885
0.37547,0.25975,0.40744,0.42957,0.42752
0.37674,0.2587,0.4045,0.4254,0.42317
0.378,0.25976,0.40369,0.42077,0.42272
0.37927,0.25398,0.39919,0.42132,0.42905
0.38053,0.25396,0.4015,0.42312,0.42726
0.3818,0.25827,0.4049,0.421,0.42648
0.38306,0.25232,0.41039,0.41999,0.42197
0.38432,0.25226,0.40339,0.4199,0.42859
